section,original_question,generated_question,answer
General,hi,Hello!,Hey there! 👋 How can I help you today?
General,hi,Hi there!,Hey there! 👋 How can I help you today?
General,hi,Greetings!,Hey there! 👋 How can I help you today?
General,hi,Hey!,Hey there! 👋 How can I help you today?
General,hi,What's up?,Hey there! 👋 How can I help you today?
General,hi,How's it going?,Hey there! 👋 How can I help you today?
General,hi,Good day!,Hey there! 👋 How can I help you today?
General,hi,Hiya!,Hey there! 👋 How can I help you today?
General,hi,Salutations!,Hey there! 👋 How can I help you today?
General,hi,Howdy!,Hey there! 👋 How can I help you today?
General,hello,Hi there! How's your day going at Fergusson College?,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Hello! I hope you're enjoying your time at Fergusson College today.,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Hey! How's everything at Fergusson College today?,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Greetings! I hope you're having a wonderful day at Fergusson College.,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Hi! How's it going at Fergusson College?,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Hello! Wishing you a great day at Fergusson College.,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Hey there! Hope your day at Fergusson College is going well.,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Hi! How are things going for you at Fergusson College today?,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Hello! I trust you’re having a fantastic day at Fergusson College.,Hello! Hope you're having a great day at Fergusson College 😊
General,hello,Hi! Hope your experience at Fergusson College is enjoyable today!,Hello! Hope you're having a great day at Fergusson College 😊
General,hey,Hello! How can I assist you today?,Hey! What can I do for you today?
General,hey,Hi there! What help do you need?,Hey! What can I do for you today?
General,hey,Hey! What information are you looking for?,Hey! What can I do for you today?
General,hey,Greetings! How may I support you today?,Hey! What can I do for you today?
General,hey,Hi! What can I help you with?,Hey! What can I do for you today?
General,hey,Hey there! What would you like to know?,Hey! What can I do for you today?
General,hey,Hello! How can I be of service?,Hey! What can I do for you today?
General,hey,Hi! What questions do you have for me?,Hey! What can I do for you today?
General,hey,Hey! What can I do to assist you?,Hey! What can I do for you today?
General,hey,Hello! Is there something specific you'd like to discuss?,Hey! What can I do for you today?
General,good morning,Good morning! How's everything going at Fergusson College today?,Good morning! Ready for another productive day at Fergusson College?
General,good morning,Hi there! Ready to tackle the day at Fergusson College?,Good morning! Ready for another productive day at Fergusson College?
